Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15
9000.0,1.0,1.0,1.0,9000.0,20.0,96.0,384.0,1,22924.0,16677.0,9914.0,5856.0,10058.0,2049.0,11431.0,2057.0,5211.0,4506.0,6842.0,39168.0,8304.0,13221.0,20191.0
,2.0,0.067,0.075,603.0,,,1344.0,2,22516.0,16277.0,9724.0,5863.0,9722.0,2012.0,11090.0,1977.0,5086.0,4344.0,6528.0,38571.0,8106.0,12928.0,19891.0
,,,,,,,672.0,3,22485.0,16140.0,9568.0,6042.0,9576.0,1981.0,11122.0,1952.0,5069.0,4307.0,6473.0,38461.0,8171.0,12848.0,19892.0
,,,,,,,1056.0,4,22572.0,16146.0,10035.0,6328.0,9503.0,2000.0,11321.0,1987.0,5173.0,4349.0,6492.0,38927.0,8273.0,13040.0,20208.0
,,,,,,,384.0,5,23189.0,16587.0,10843.0,7001.0,9587.0,2069.0,11900.0,2105.0,5560.0,4459.0,6800.0,39795.0,8567.0,13521.0,20834.0
,,,,,,,384.0,6,24480.0,17758.0,11718.0,7409.0,9948.0,2237.0,13198.0,2392.0,6364.0,4849.0,7495.0,41961.0,9340.0,14205.0,21850.0
,,,,,,,576.0,7,26730.0,19771.0,12469.0,7572.0,10874.0,2549.0,14764.0,2657.0,6950.0,5534.0,8400.0,46944.0,10661.0,15142.0,23115.0
,,,,,,,288.0,8,28458.0,21198.0,12466.0,7491.0,12162.0,2596.0,15217.0,2569.0,6882.0,5727.0,8746.0,49201.0,11019.0,15865.0,24213.0
,,,,,,,480.0,9,29064.0,21803.0,11974.0,7294.0,12822.0,2526.0,14895.0,2268.0,6464.0,5828.0,8459.0,49269.0,11186.0,16075.0,23812.0
,,,,,,,288.0,10,28895.0,21952.0,11294.0,7060.0,12999.0,2419.0,14566.0,1912.0,5977.0,5861.0,8059.0,48846.0,11220.0,15790.0,22698.0
,,,,,,,96.0,11,28648.0,22019.0,10801.0,6849.0,13085.0,2358.0,14232.0,1643.0,5625.0,5905.0,7735.0,48438.0,11318.0,15600.0,21842.0
,,,,,,,288.0,12,28267.0,21842.0,10524.0,6760.0,13106.0,2287.0,14098.0,1503.0,5471.0,5899.0,7576.0,47742.0,11249.0,15565.0,21601.0
,,,,,,,576.0,13,27812.0,21566.0,10749.0,6798.0,13086.0,2204.0,13967.0,1593.0,5677.0,5985.0,7596.0,47034.0,11201.0,15522.0,21455.0
,,,,,,,384.0,14,27468.0,21287.0,10993.0,6830.0,13033.0,2169.0,13820.0,1678.0,5861.0,5912.0,7603.0,46506.0,11090.0,15554.0,21393.0
,,,,,,,192.0,15,27321.0,21085.0,11778.0,7108.0,13046.0,2187.0,13677.0,1846.0,6125.0,5908.0,7704.0,45714.0,10960.0,15607.0,21507.0
,,,,,,,480.0,16,27182.0,20868.0,13568.0,7813.0,12977.0,2296.0,13805.0,2256.0,6706.0,6019.0,8104.0,45588.0,11033.0,16086.0,22251.0
,,,,,,,384.0,17,27340.0,20919.0,14908.0,8252.0,13002.0,2516.0,14616.0,2878.0,7560.0,6416.0,8870.0,46698.0,11494.0,17240.0,24390.0
,,,,,,,288.0,18,28291.0,21937.0,15004.0,8270.0,13485.0,2883.0,16020.0,3337.0,8248.0,6908.0,9985.0,49914.0,12241.0,17883.0,25865.0
,,,,,,,96.0,19,29883.0,22898.0,14805.0,8159.0,14146.0,2982.0,16802.0,3435.0,8373.0,7056.0,10351.0,51915.0,12367.0,18059.0,25713.0
,,,,,,,96.0,20,29772.0,22750.0,14212.0,7812.0,13953.0,2973.0,16846.0,3371.0,8141.0,6908.0,10245.0,52045.0,12191.0,17660.0,25117.0
,,,,,,,,21,29345.0,22288.0,13226.0,7327.0,13688.0,2885.0,16418.0,3163.0,7607.0,6635.0,9894.0,51637.0,11838.0,17023.0,23828.0
,,,,,,,,22,28607.0,21446.0,12188.0,6884.0,13337.0,2716.0,15632.0,2892.0,6931.0,6228.0,9330.0,50318.0,11247.0,16219.0,22396.0
