Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,6.997175991098584e10,4.336950517017065e9,4.667172096109538e9,5.12685288396659e9,1.5329198136402533e9,4.083082695071189e9,7.154373982199328e8,6.198465196731035e9,7.769631362008792e8,2.133252939172286e9,1.3246404968390985e9,6.210183453069814e8,2.5211213458754803e10,2.562096673016136e9,3.701221494054584e9,6.724349699267548e9
cFix,4.025984829615292e10,2.289017028794594e9,1.4441958497605844e9,2.6876715411575537e9,1.2573328842689304e9,3.1003339357010517e9,4.5919339554021186e8,5.886512314179269e9,6.105925003136716e8,3.268955143876765e8,4.633406262132572e8,4.582925827445793e8,1.3361279685072765e10,2.0713022006515942e9,2.2656747218821516e9,3.5782135154850516e9
cVar,2.9446889204689247e10,2.047933488222471e9,3.222976246348952e9,2.4391813428090367e9,2.7558692937132335e8,9.798840606648387e8,2.562440039401022e8,3.1189650907325053e8,1.6302403804776e8,1.806357425965976e9,8.612998744856955e8,1.6268307816069472e8,1.1847344775673006e10,4.907944759715375e8,1.4355467721724327e9,3.1461361837824974e9
cNSE,1.6866259086780962e8,4.908345893449093e7,6.0217516417467326e7,613936.0996282398,-167.78115882095176,-167.7233856506022,-167.78114351790697,-167.7839859954816,-167.80466873569972,-167.7692919428319,-167.7688869201064,-167.7691376119103,-167.78941111817286,-167.7789318209144,2.2242047384702403e7,3.650730978152306e7
cStart,8.899342525402011e6,0.0,0.0,0.0,0.0,2.864698705298561e6,-1.2603813128879446,56373.47851585983,3.3465978394476054e6,-1.1813662323300025,-3.859854542069748,42684.401707288016,2.5889980090301363e6,-3.606995473643967,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,8.74604767520096e7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
