region,Resource,cluster,R_ID,zone,voltage_level,CapRes_1,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,RPS_7
PJM_PECO,biomass,1,90,10,trans,0.93,0,0,1,0,0,0,0,0,0,1,0,0,0,0.63,1,1.6,-1,0.63,0,0,0,0,0,0,111708,0,0,0,4.3,0,0,0,0,10.5,0,0,None,0.5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_PECO,biomass,2,91,10,trans,0.93,0,0,1,0,0,0,0,0,0,1,0,0,0,2.85,5,7.2,-1,0.57,0,0,0,0,0,0,111708,0,0,0,3.778,0,0,0,0,9.26,0,0.109,None,0.5,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_PECO,natural_gas_fired_combined_cycle,1,92,10,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,2759.7,5,2759.7,0,551.94,0,0,0,0,0,0,10472.815,0,0,0,3.405,0,0,87,2,7.27,0.13,0.409,middle_atlantic_naturalgas,0.474,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_PECO,natural_gas_fired_combustion_turbine,1,93,10,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,127,1,127,0,127,0,0,0,0,0,0,8832,0,0,0,10.8,0,0,113,3.5,12.1,0,0,middle_atlantic_naturalgas,0.409,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_PECO,natural_gas_steam_turbine,1,94,10,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,56.6,1,56.6,0,56.6,0,0,0,0,0,0,48590,0,0,0,1,0,0,83,13.7,22.09,0,0,middle_atlantic_naturalgas,0.106,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_PECO,nuclear,1,95,10,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,2386,2,2386,0,1193,0,0,0,0,0,0,100888,0,0,0,2.3,0,0,235,0,10.46,0,0,middle_atlantic_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
PJM_PECO,solar_photovoltaic,1,96,10,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,187.1,6,7.998,0,1,0,0,0,0,0,0,17943,0,0,0,0,0,0,0,0,9.12,0.001,0.001,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
PJM_SMAC,conventional_steam_coal,1,97,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,3455.97,7,3455.998,0,493.71,0,0,0,0,0,0,59757.971,0,0,0,1.8,0,0,117,13.7,11.1,0.575,0.581,south_atlantic_coal,0.382,0,1,1,1,0,0,0,0.57,0.57,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combined_cycle,1,98,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,1501,2,1501,0,750.5,0,0,0,0,0,0,9270,0,0,0,3.4,0,0,87,2,7.27,0.212,0.299,south_atlantic_naturalgas,0,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combined_cycle,2,99,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,4.5,1,4.5,0,4.5,0,0,0,0,0,0,15620,0,0,0,4.3,0,0,87,2,12.01,0,0,south_atlantic_naturalgas,0.111,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combined_cycle,3,100,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,230,1,230,0,230,0,0,0,0,0,0,15620,0,0,0,4.3,0,0,87,2,8.46,0,0,south_atlantic_naturalgas,0.574,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combined_cycle,4,101,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,20,1,20,0,20,0,0,0,0,0,0,15620,0,0,0,4.3,0,0,87,2,13.64,0,0,south_atlantic_naturalgas,0.075,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combustion_turbine,1,102,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,398,4,398,0,99.5,0,0,0,0,0,0,7162,0,0,0,10.8,0,0,113,3.5,51.34,0,0,south_atlantic_naturalgas,0.492,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combustion_turbine,2,103,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,18.4,4,18.4,0,4.6,0,0,0,0,0,0,11182,0,0,0,10.8,0,0,113,3.5,12.01,0,0,south_atlantic_naturalgas,0.109,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_SMAC,natural_gas_fired_combustion_turbine,3,104,11,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,334,2,334,0,167,0,0,0,0,0,0,7162,0,0,0,10.8,0,0,113,3.5,11.93,0,0,south_atlantic_naturalgas,0.24,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
