Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,1.3404522047985986e11,1.0176425920033205e10,1.5188780904428055e10,1.0000832483303215e10,3.112525510216076e9,8.40474899762563e9,1.0160480141736554e9,3.9836978609776216e9,1.19601814687106e9,6.423554576081894e9,4.020935882157898e9,1.196678001971308e9,4.597260388514482e10,4.523899497968629e9,5.889273076640841e9,9.91988761113204e9
cFix,9.522684395331766e10,1.0176421232528967e10,7.570520122500114e9,6.549089804847553e9,2.7702982232501717e9,5.57513644686503e9,7.744409140231117e8,3.740732863957887e9,1.009442833551385e9,4.022611350670741e9,2.2528829945562515e9,1.0667443049293783e9,3.227636345545541e10,3.5383767287697525e9,5.272301920069641e9,8.631480757342173e9
cVar,3.541008578345321e10,4687.504238856292,7.61826078192794e9,3.4517426784556613e9,3.4222728696590453e8,2.7788463594060946e9,2.37378289010429e8,2.4296494815919775e8,1.744675048953153e8,2.386958820044028e9,1.7557925071064785e9,1.2963475033378938e8,1.3415479064545324e10,9.709500947397385e8,6.169711565711994e8,1.2884068537898655e9
cNSE,2.851415026386753e9,5.0912029465843934e8,3.073842342006432e8,2.6434532703786254e8,7.444554593377781e7,1.548943759625197e8,2.0260961964918822e7,1.2122629764153276e8,2.0266453187170208e7,6.192428587157933e7,6.632508631233594e7,8.049211279158267e7,1.153291616186049e8,9.484540252964155e7,1.9575123381460515e8,7.648042528615339e8
cStart,3.8898063195317835e8,0.0,0.0,0.0,0.0,5.076619135450588e7,4.228811140114626e6,48.86053692003253,1.210780842435969e7,1.3984405367124086e7,1.2260380495168276e7,298946.70814042655,2.8076136514409095e8,1.4572674459137745e7,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.6789508474823943e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
