Segment,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,Total
Zone,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,0
Sum,-0.019170977,123650.91,5127.2524,62145.188,-0.019170986,15564.657,-0.019171145,5873.307,-0.019171102,-0.017684847,-0.019171143,-0.017837169,-0.019171147,-0.01783956,-0.019171273,2356.4404,-0.019171132,-0.017835531,-0.019171132,-0.017835453,-0.019171089,-0.017821463,-0.019171152,-0.017840914,-0.019171132,-0.017835753,-0.019171042,27682.42,461.1516,57845.617,300706.62
t1,-2.19305246982257e-6,-2.0199457982925426e-6,-2.1930521926607975e-6,-2.019883907786128e-6,-2.1930508993459855e-6,-2.0195451708464003e-6,-2.1930514120653945e-6,-2.0197064556261536e-6,-2.193053238029043e-6,-2.020174273939937e-6,-2.1930520047328243e-6,-2.0198130977593833e-6,-2.1930523964075443e-6,-2.0199636921051004e-6,-2.1930855401811442e-6,-2.0275821297944616e-6,-2.1930514633091395e-6,-2.019743920825181e-6,-2.1930513670863945e-6,-2.0197203538255458e-6,-2.19305061419673e-6,-2.0195390596140072e-6,-2.1930532440304386e-6,-2.0201298652693994e-6,-2.193050919434363e-6,-2.0196134929717754e-6,-2.193051586717933e-6,-2.0197470782400354e-6,-2.1930436178515368e-6,-2.0178088727481554e-6,-3.168348254960095e-5
t2,-2.19305247790207e-6,-2.019946184309028e-6,-2.19305219357611e-6,-2.0198834229659773e-6,-2.1930509200548446e-6,-2.019549566152256e-6,-2.193051424227754e-6,-2.019708145127972e-6,-2.193053247464251e-6,-2.0201756110744867e-6,-2.1930570169555905e-6,-2.0210141332494234e-6,-2.1930524030749485e-6,-2.019963028784887e-6,-2.193085546798345e-6,-2.0275813361991865e-6,-2.1930514728819353e-6,-2.0197453739663317e-6,-2.1930513730755307e-6,-2.019720924148725e-6,-2.1930506225732275e-6,-2.0195394213781118e-6,-2.1930532502181193e-6,-2.020130202912745e-6,-2.193050926388088e-6,-2.019614891063978e-6,-2.193051590971739e-6,-2.019746857466004e-6,-2.1930436253929337e-6,-2.0178094115233807e-6,-3.1684695321717945e-5
t3,-2.1930524852480372e-6,-2.0199464519491406e-6,-2.193052204337717e-6,-2.0198863289751622e-6,-2.1930509348469668e-6,-2.019557043759739e-6,-2.1930514361539553e-6,-2.019711476536637e-6,-2.1930532550310914e-6,-2.0201757519734327e-6,-2.19305702513722e-6,-2.0210154833767655e-6,-2.1930524072780937e-6,-2.0199647504633918e-6,-2.193085551522841e-6,-2.0275815320701104e-6,-2.1930514808652657e-6,-2.0197475057783565e-6,-2.1930513792037277e-6,-2.019721989222532e-6,-2.193050630554431e-6,-2.019540395485694e-6,-2.1930532553920286e-6,-2.0201317055477475e-6,-2.193050932717766e-6,-2.01961655402736e-6,-2.1930515932605447e-6,-2.0197473686270913e-6,-2.1930436304368624e-6,-2.017810412554427e-6,-3.168471258659019e-5
t4,-2.193052488908711e-6,-2.0199480291031495e-6,-2.193052210470018e-6,-2.019888942436712e-6,-2.193050945685625e-6,-2.0195614569707595e-6,-2.1930514450566358e-6,-2.0197147132254605e-6,-2.1930532606057883e-6,-2.0201769813052135e-6,-2.193057027223621e-6,-2.021015636488107e-6,-2.193052409312684e-6,-2.019966719854207e-6,-2.193085553945364e-6,-2.027581711159656e-6,-2.1930514864004444e-6,-2.019749178916958e-6,-2.19305138232618e-6,-2.0197226266735124e-6,-2.1930506355638914e-6,-2.019540870830128e-6,-2.1930532577892975e-6,-2.0201338441792287e-6,-2.1930509367568956e-6,-2.0196179296602404e-6,-2.1930515902664577e-6,-2.0197464518462337e-6,-2.1930436250441916e-6,-2.017810162803182e-6,-3.1684727820592054e-5
t5,-2.1930524887374127e-6,-2.0199499176598053e-6,-2.193052212583981e-6,-2.0198912679114203e-6,-2.193050945467709e-6,-2.0195657214580277e-6,-2.1930514477288663e-6,-2.019717480839568e-6,-2.1930532634056362e-6,-2.0201771558175308e-6,-2.1930570186611223e-6,-2.0210137641243654e-6,-2.193052408594622e-6,-2.0199684354279724e-6,-2.1930855528150353e-6,-2.0275810294824746e-6,-2.193051486214924e-6,-2.019750325375063e-6,-2.1930513816008512e-6,-2.019723020517396e-6,-2.193050636627621e-6,-2.0195410306332235e-6,-2.1930532573504387e-6,-2.020135996837067e-6,-2.1930509360991106e-6,-2.0196182619115326e-6,-2.193051574927098e-6,-2.0197440089456783e-6,-2.1930436042235e-6,-2.0178084143216894e-6,-3.1684739081233074e-5
t6,-2.1930524852645277e-6,-2.0199522660838774e-6,-2.193052212434218e-6,-2.0198932913480427e-6,-2.193050954191571e-6,-2.0195720323385e-6,-2.193051455416424e-6,-2.019720295805428e-6,-2.193053262170708e-6,-2.020177271970693e-6,-2.1930520163226478e-6,-2.0198134784520667e-6,-2.1930524042230457e-6,-2.0199688179093763e-6,-2.1930855543251803e-6,-2.0275811915575467e-6,-2.1930514857614092e-6,-2.0197508087981947e-6,-2.193051378650192e-6,-2.0197226123667443e-6,-2.1930506327464413e-6,-2.0195402890861744e-6,-2.1930532541613833e-6,-2.020137102473888e-6,-2.193050933481876e-6,-2.019618156127508e-6,-2.1930508809704227e-6,-2.019579621555056e-6,-2.1930414966137484e-6,-2.0172952614149506e-6,-3.16835477982563e-5
t7,-2.1930523839170614e-6,-2.0199291703211183e-6,-2.19305211517261e-6,-2.0198704865888647e-6,-2.1930509664988342e-6,-2.0195754255705044e-6,-2.1930514644830463e-6,-2.0197230903634983e-6,-2.193053258963517e-6,-2.0201777110302326e-6,-2.193052007250595e-6,-2.0198110935075295e-6,-2.1930516839090103e-6,-2.0197950486502955e-6,-2.1930855534121203e-6,-2.0275808872242068e-6,-2.193051483572849e-6,-2.0197494432058568e-6,-2.1930513736795503e-6,-2.0197201113655863e-6,-2.193050629175365e-6,-2.019539155810386e-6,-2.193053155457389e-6,-2.020113315366475e-6,-2.193050929177415e-6,-2.019617286943977e-6,-2.19305087700966e-6,-2.019579677740451e-6,-2.1930415004763758e-6,-2.0172948357113854e-6,-3.1683331459638844e-5
t8,-2.193051355772699e-6,-2.0196834242247732e-6,-2.1930510764312653e-6,-2.019620298840709e-6,-2.193051405362001e-6,-2.0196811047726346e-6,-2.1930518931414173e-6,-2.0198254010252452e-6,-2.1930521588758474e-6,-2.0199122971749135e-6,-2.1930568841399223e-6,-2.02098049372953e-6,-2.193051208463045e-6,-2.019680128372169e-6,-2.1930855793657223e-6,-2.0275844227132707e-6,-2.1930519020546684e-6,-2.019848746152778e-6,-2.1930517933498345e-6,-2.0198199378450262e-6,-2.1930508304678467e-6,-2.019589497463318e-6,-2.1930521530476873e-6,-2.019873524150055e-6,-2.193051348250779e-6,-2.0197181108371673e-6,-2.1930508850545145e-6,-2.019582107525366e-6,-2.1930415140659784e-6,-2.0172966512062004e-6,-3.16838347096919e-5
t9,-2.1930559991222056e-6,-2.0207947274811925e-6,-2.1930557570709993e-6,-2.020739773786327e-6,-2.19306038897172e-6,-2.021797835372505e-6,-2.19306013520157e-6,-2.021762982579183e-6,-2.193056696988975e-6,-2.0210002475663994e-6,-2.1930571694117315e-6,-2.021045702732653e-6,-2.1930582433133684e-6,-2.021353855072296e-6,-2.1930855825947415e-6,-2.027581827577017e-6,-2.193056702328803e-6,-2.0209910235510775e-6,-2.193056601466508e-6,-2.0209684737175183e-6,-2.1930559590185507e-6,-2.0208162155254533e-6,-2.1930566856225198e-6,-2.020953904978307e-6,-2.1930562125302407e-6,-2.0208777727697097e-6,-2.193055642463053e-6,-2.0207166158522716e-6,-2.193057601619488e-6,-2.021179978962083e-6,-3.169298509726587e-5
t10,-2.193058520990088e-6,-2.0213846179677028e-6,-2.1930583037106355e-6,-2.021333966993018e-6,-2.193178838812667e-6,-2.0462553444831844e-6,-2.193180068427188e-6,-2.046504793553871e-6,-2.19305916309002e-6,-2.0215757349966754e-6,-2.1930571863991653e-6,-2.0210480532624772e-6,-2.1930598996636886e-6,-2.021739892945341e-6,-2.1930856043867515e-6,-2.027583821263153e-6,-2.193056721906503e-6,-2.020992776605462e-6,-2.193056613244648e-6,-2.0209688696193914e-6,-2.1930559969341196e-6,-2.020820128902264e-6,-2.1930591517502187e-6,-2.021532951011513e-6,-2.1930564281237686e-6,-2.0209236958278545e-6,-2.1930590265714428e-6,-2.0215154723324078e-6,-2.1930599993395616e-6,-2.0217414112282784e-6,-3.174457998968247e-5
t11,-2.193058710728776e-6,-2.021427515758499e-6,-2.1930593492675697e-6,-2.021578553118409e-6,-2.193178945894946e-6,-2.0462597153866556e-6,-2.1931801682756826e-6,-2.0465079672297077e-6,-2.1930591751760957e-6,-2.021575655185348e-6,-2.1930571971114906e-6,-2.021048132547309e-6,-2.193060088889039e-6,-2.021778867451615e-6,-2.193085613960764e-6,-2.027583392185539e-6,-2.193056730945366e-6,-2.0209925327475953e-6,-2.1930566149643476e-6,-2.020967365380344e-6,-2.1930560151636714e-6,-2.020820650264155e-6,-2.1930593434091803e-6,-2.021575537180453e-6,-2.1930564447454485e-6,-2.020924454394584e-6,-2.1930594364434743e-6,-2.0216088471462003e-6,-2.1930601939565434e-6,-2.0217824231778406e-6,-3.174491565598191e-5
t12,-2.1930587274992426e-6,-2.0214301016498548e-6,-2.1930593705422777e-6,-2.0215804609300567e-6,-2.1931790091433523e-6,-2.0462610213204984e-6,-2.1931802328239173e-6,-2.0465089948691973e-6,-2.1930591827587143e-6,-2.021574226369466e-6,-2.193057205148468e-6,-2.0210487320843924e-6,-2.1930601096275005e-6,-2.021780785995513e-6,-2.193085626248123e-6,-2.0275840134648138e-6,-2.193056740349738e-6,-2.020993080675282e-6,-2.1930566213929643e-6,-2.0209682480578856e-6,-2.19305602709804e-6,-2.0208216539859746e-6,-2.1930593636658737e-6,-2.0215775747309505e-6,-2.1930564571678927e-6,-2.0209254213224538e-6,-2.193059454808537e-6,-2.021610969467927e-6,-2.193060213137674e-6,-2.021784635857888e-6,-3.174492378701058e-5
t13,-2.193058734234752e-6,-2.0214300343459877e-6,-2.1930593786578266e-6,-2.0215802509227894e-6,-2.1931790126384156e-6,-2.046260197274779e-6,-2.193180246480504e-6,-2.046509258600214e-6,-2.193059188257995e-6,-2.021573491144441e-6,-2.193057211379419e-6,-2.0210491341877715e-6,-2.1930601151940888e-6,-2.021781275615322e-6,-2.193085627658654e-6,-2.0275843446667575e-6,-2.193056742252773e-6,-2.0209933470968403e-6,-2.193056622865225e-6,-2.0209688753780648e-6,-2.1930560305453175e-6,-2.0208219666172927e-6,-2.1930593712528524e-6,-2.0215785735858346e-6,-2.193056461310858e-6,-2.020926645301003e-6,-2.1930594611463673e-6,-2.0216109153960596e-6,-2.1930602144002177e-6,-2.0217851071306003e-6,-3.1744923156592964e-5
t14,-2.1930587305505763e-6,-2.02142940189586e-6,-2.1930593738350798e-6,-2.021579590732208e-6,-2.1931789736680637e-6,-2.0462578875895743e-6,-2.1931802095275856e-6,-2.0465101990938373e-6,-2.1930591868194004e-6,-2.0215726293112427e-6,-2.1930572117307545e-6,-2.0210492110044674e-6,-2.1930601090924196e-6,-2.0217809549466173e-6,-2.1930856247673654e-6,-2.027584727105077e-6,-2.193056739187712e-6,-2.020993110649057e-6,-2.193056623083475e-6,-2.0209701871891414e-6,-2.193056028187571e-6,-2.0208220359729005e-6,-2.1930593671990785e-6,-2.0215781256784776e-6,-2.19305646013065e-6,-2.020927592401876e-6,-2.1930594570285454e-6,-2.0216110222496594e-6,-2.1930602029125383e-6,-2.0217840801896195e-6,-3.174491929456506e-5
t15,-2.19305871514776e-6,-2.021426337145604e-6,-2.193059357568476e-6,-2.021577450045251e-6,-2.1931788825155e-6,-2.046256065834365e-6,-2.1931801361699592e-6,-2.0465116357208714e-6,-2.1930591760156688e-6,-2.0215713785007354e-6,-2.193057206616176e-6,-2.021049648092097e-6,-2.1930600859907344e-6,-2.0217796997082208e-6,-2.193085610101887e-6,-2.0275847202189355e-6,-2.193056727510111e-6,-2.0209932881796498e-6,-2.1930566174968304e-6,-2.020970955927019e-6,-2.1930560150022375e-6,-2.0208213230698825e-6,-2.193059349570493e-6,-2.0215760107895e-6,-2.1930564508632706e-6,-2.0209285655636913e-6,-2.193059439493348e-6,-2.0216088396072864e-6,-2.1930601726865085e-6,-2.0217816048908085e-6,-3.17449113851733e-5
t16,-2.19305869643556e-6,-2.021425174401675e-6,-2.1930593173828834e-6,-2.0215722401452475e-6,-2.1930570760479895e-6,-2.0210152561399363e-6,-2.193057546172052e-6,-2.0211518730171376e-6,-2.1930591716476643e-6,-2.0215731243999454e-6,-2.1930571904988246e-6,-2.021050075755236e-6,-2.193060055120074e-6,-2.0217786125828868e-6,-2.19308558231614e-6,-2.027584590848068e-6,-2.1930566983636482e-6,-2.02099307707285e-6,-2.1930565987797024e-6,-2.0209713125950783e-6,-2.193055986957113e-6,-2.0208201577819698e-6,-2.193059325209086e-6,-2.0215741410133217e-6,-2.193056425356236e-6,-2.020928655747083e-6,-2.193058376153152e-6,-2.0213599269085618e-6,-2.1930593361540818e-6,-2.0215905979277594e-6,-3.169406099206325e-5
t17,-2.1930545151852453e-6,-2.0204356695187313e-6,-2.1930542680870165e-6,-2.0203772183848404e-6,-2.1930500254158535e-6,-2.0193375757479927e-6,-2.1930506046561305e-6,-2.0195075961257597e-6,-2.193055253769894e-6,-2.020646869752722e-6,-2.1930570271382297e-6,-2.0210159192823665e-6,-2.1930560726267583e-6,-2.0208399850030822e-6,-2.1930855556319243e-6,-2.027582865559105e-6,-2.1930514678710163e-6,-2.0197470699757513e-6,-2.1930513592617934e-6,-2.019718002247701e-6,-2.1930506447262134e-6,-2.0195422947738783e-6,-2.1930552402490566e-6,-2.020608098477899e-6,-2.193051047900504e-6,-2.0196442557449945e-6,-2.1930541396271305e-6,-2.020353200439589e-6,-2.193041562412805e-6,-2.01730212899742e-6,-3.168662415632654e-5
t18,-2.1930541328094953e-6,-2.0203463735860248e-6,-2.1930510528886554e-6,-2.0196129517112487e-6,-2.1930499455052274e-6,-2.0193214233087035e-6,-2.193050531267202e-6,-2.019504649399153e-6,-2.19305438457367e-6,-2.0204470282831823e-6,-2.1930570092725528e-6,-2.021014574064247e-6,-2.193054063621422e-6,-2.0203643651708444e-6,-2.1930855401895476e-6,-2.0275813198397522e-6,-2.1930514388004055e-6,-2.0197459105393523e-6,-2.1930513403963965e-6,-2.0197171160929184e-6,-2.1930506077420173e-6,-2.0195387635658214e-6,-2.1930548673354937e-6,-2.0205222310221205e-6,-2.1930510179851123e-6,-2.0196425889514653e-6,-2.1930532913569175e-6,-2.0201579515525338e-6,-2.193041509215745e-6,-2.017297173009285e-6,-3.168506802565117e-5
t19,-2.1930541194687467e-6,-2.020345267822443e-6,-2.1930510436155217e-6,-2.019609644619675e-6,-2.193049942461071e-6,-2.0193155972445228e-6,-2.1930505268913553e-6,-2.019502034904525e-6,-2.193054369174954e-6,-2.020448324465658e-6,-2.193057011593325e-6,-2.021015355587431e-6,-2.1930540560252645e-6,-2.0203648803685896e-6,-2.1930855459458713e-6,-2.0275828942752216e-6,-2.193051441114533e-6,-2.019746826341988e-6,-2.1930513470550957e-6,-2.019719293778767e-6,-2.1930506060312127e-6,-2.019539742990699e-6,-2.1930548569163503e-6,-2.0205212861862955e-6,-2.1930510186505393e-6,-2.0196435795823118e-6,-2.1930532631855517e-6,-2.0201562955040165e-6,-2.19304150664873e-6,-2.017296189736824e-6,-3.168505772018896e-5
t20,-2.193054121031755e-6,-2.0203457375613975e-6,-2.193051048338736e-6,-2.0196100036377723e-6,-2.193049946253383e-6,-2.019316459652714e-6,-2.193050526804309e-6,-2.0195006528977348e-6,-2.1930543673837186e-6,-2.0204482001724103e-6,-2.193057018217937e-6,-2.02101623921189e-6,-2.193054056351242e-6,-2.0203645409508015e-6,-2.1930855557442786e-6,-2.0275842560639073e-6,-2.1930514474726422e-6,-2.019747881287561e-6,-2.1930513579027773e-6,-2.0197222034399537e-6,-2.193050611026287e-6,-2.0195414733663903e-6,-2.193054858382863e-6,-2.020520838133431e-6,-2.193051023711728e-6,-2.019645150041425e-6,-2.193053268849167e-6,-2.020157210595178e-6,-2.193041510200259e-6,-2.0172964726063346e-6,-3.168505847421008e-5
