Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
biomass,7,97,0,0,97,0,0,0,0,0,0,0,0
conventional_hydroelectric,7,611,0,0,611,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
conventional_steam_coal,7,0,0,0,0,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,7,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,7,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,7,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,7,3708,-2.19E-06,0,3708.000002,0,0,0,0,0,0,0,0
onshore_wind_turbine,7,0,0,0,0,0,0,0,0,0,0,0,0
small_hydroelectric,7,1655,0,0,1655,0,0,0,0,0,0,0,0
solar_photovoltaic,7,1556,-2.19E-06,0,1556.000002,0,0,0,0,0,0,0,0
biomass,8,26,0,0,26,0,0,0,0,0,0,0,0
conventional_steam_coal,8,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,8,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,8,0,0,0,0,0,0,0,0,0,0,0,0
nuclear,8,3500,3010.268223,0,489.7317773,0,0,0,0,0,0,0,0
solar_photovoltaic,8,225,-2.17E-06,0,225.0000022,0,0,0,0,0,0,0,0
biomass,9,51,0,0,51,0,0,0,0,0,0,0,0
hydroelectric_pumped_storage,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combined_cycle,9,2879,-2.16E-06,0,2879.000002,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,9,0,0,0,0,0,0,0,0,0,0,0,0
natural_gas_fired_combustion_turbine,9,0,0,0,0,0,0,0,0,0,0,0,0
