Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,3599.0,1.154883e8
7,369.0,1.2919059e7
8,1858.0,5.5905364e7
9,-2.1894014e-6,-0.08494439
10,-2.1734324e-6,-0.05560727
11,0.0,0.0
12,983.1264,2.1875546e7
13,-2.186465e-6,-0.058131546
14,0.0,0.0
15,0.0,0.0
16,-2.1703172e-6,-0.029444695
17,-2.189278e-6,-0.06303588
18,-2.1893093e-6,-0.10976102
19,-2.1674223e-6,-0.059309345
20,-2.1865023e-6,-0.067409866
21,4503.9995,1.4265518e8
22,0.0,0.0
23,0.0,0.0
