Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
CO2_Price,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,-6.640296553540563e-8,0
Sum,1.0729255e8,6.5734076e7,9.899538e6,648216.56,2.4506615e6,4.7084875e6,0.47617495,1.726334e6,2.5898964e7,1.269274e7,626238.3,2.0627472e8,1.0876056e7,8.188861e6,1.8420312e7,4.7543776e8
t1,12622.296566377312,6797.216769830082,823.9859376201316,77.14997594446181,0.0003290643274440094,682.9856165082821,4.9796381232791316e-5,2.2234296754077374e-5,3742.337060991895,1264.48484071287,0.0003029078736110331,31377.30570159665,264.645279113094,734.9718377828362,1702.9386867537985,60090.318977234296
t2,12622.296566071042,6797.216736936278,823.9859373124503,77.14997585109738,0.0003282409169273552,665.0667602560533,4.854837500910294e-5,2.1633585263940723e-5,3742.337060212941,1264.4848348683695,0.0002958889463890913,31377.30570105825,264.6452624947448,734.971837677165,1702.9386867357334,60072.40005378594
t3,12622.296566004237,6797.216736811955,823.9859371793573,77.14997584463984,0.00032767584344090304,583.3930518036788,4.8325486442987916e-5,2.1389618348730924e-5,3742.3370593816862,1264.4848340243889,0.00029422351027562593,31377.30570048698,264.64526011942917,734.9718376565406,1702.9386867281514,59990.72633765551
t4,12622.296565988281,6797.216736745191,823.9859370860008,77.14997584258128,0.00032709676978414,569.3377000178562,4.823882552546571e-5,2.1176454272631493e-5,3742.337058515952,1264.4848334403334,0.00029348958670298494,31377.305699882752,264.64525909529897,734.9718376652423,1702.938686732664,59976.67098101378
t5,12622.296565989089,6797.21673673256,823.9859371639354,77.1499758413535,0.00032649117580369825,669.4422203084565,4.821301538118486e-5,2.098776144105153e-5,3742.3370577361698,1264.4848328677642,0.00029291052221952214,31377.305699292974,264.64525821464,734.9718377369403,1702.9386867866006,60076.77549727296
t6,12622.29656601088,6797.21673675325,823.9859371684942,77.14997582857795,0.0003258535665074487,682.9856134048285,4.8550158782278064e-5,2.0819234136514743e-5,3742.337056948376,1264.4848322586165,0.0002922009792176123,31377.305698698707,264.64525687994353,734.9718424890298,2168.9706905899816,60556.35089445462
t7,12622.296566534307,6797.216740933942,823.9859369076266,77.14997573537934,0.00032525741850759817,682.985612856437,5.165204748023324e-5,2.066810474393565e-5,3742.3370560952394,1264.4848311543262,0.0002903418166364024,31377.30569915631,264.64524984375186,734.971842469769,2658.6780978067673,61046.05829741324
t8,12622.296570502163,7688.8529019086645,823.9858581432359,77.14997078107704,0.0003280983572735798,576.6044116243625,5.162914646563218e-5,2.053158008471566e-5,3690.8402246043793,1264.4848207313642,0.0002776959166099153,31377.305692458664,264.6451833707851,734.9718420029783,2227.4923001121874,61348.63045419485
