Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,7.779523141977444e10,3.30127720673429e9,4.149152069651871e9,7.063998056492737e9,1.7053042068341029e9,4.1946438569059525e9,1.446408999760576e9,5.227537037732106e9,4.710994603195051e9,2.785215748047198e9,1.380364543827843e9,7.448200196582848e8,3.0987597122631725e10,1.2144201546074545e9,3.485622381920626e9,4.620340936921283e9
cFix,4.724248159412326e10,1.1891642076619508e9,1.9612854065640063e9,6.124971472764597e9,1.4439918443682473e9,3.265857838397316e9,1.0490823445979193e9,4.922892547664614e9,4.569171796265581e9,1.1598853159634016e9,6.360763594070745e8,5.636132561785673e8,1.6044258722084763e10,4.6199165921770746e8,1.5439642048530214e9,2.306274618134467e9
cVar,2.9748974306582573e10,2.1121129990723388e9,2.1878666630878654e9,9.390265837281414e8,2.6131236246585563e8,9.273749850016693e8,3.9732665190953064e8,3.0464448785563695e8,1.2391228334769934e8,1.6253304151181335e9,7.442881841479816e8,1.8095280712877548e8,1.4936672882923162e10,7.524285049412125e8,1.9416581770676053e9,2.314066318786814e9
cNSE,1.5488154942947474e8,3.0870630045568384e7,9.876603129585838e7,4.100028334308216e6,-306.8508503094766,-306.68185654475667,-307.0330734670449,-307.0283576409633,-307.1237419011046,-307.032342893975,-307.03238537674355,2.5709016323062973e6,-307.0412596995966,-307.0321956553596,-306.3408972009684,1.857702731839278e7
cStart,2.6241044215445764e7,0.0,0.0,0.0,0.0,1.411033506966323e6,3.253126012273381,2.2118560821672553,1.7910523581770416e7,16.965662309418004,0.2727868547082273,253956.35094201006,6.665517623801772e6,-9.551465318995266,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,6.22652925423276e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
