Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Sum,150996.16,-2.0369016e7,-1.0704994e8,2.4177158e6,-6.151768e7,-1.6781248e7,-1.0630923e7,6.4446485e6,-2.4791885e6,441814.5,4.4718805e6,2.0426184e7,-5.002594e7,2.4532258e7,9.788743e6,-943922.06,1.2942925e7,-1.6892912e7,-1.1044122e7,2.599901e7,2.7587778e7,2.9259114e7,166755.88,-1.3310508e8
t1,0.00018931848956969506,-519.0839778771526,-10955.476824576457,0.0004415056991032527,-7197.36653574719,2110.4303408614246,-1801.3790633669068,3043.807591135756,-5.5816003923710676e-5,351.3290905377598,599.993289364872,0.00018510919015231732,-3007.3593097600206,0.00025427942725825145,1359.999979885012,-1039.9498607736573,3999.9996126747956,-1974.812010098081,-2465.0654115465254,0.0005221639268042106,1189.7470627900373,3708.7027226642667,-5.1674805971390166e-5,-12596.481818946146
t2,0.0001893034625065509,-1026.7113956393302,-9445.554939179085,0.0004409678651417378,-6385.07458820161,2291.9122471033425,-1535.0611126717217,3049.7879749465083,-5.576072875529341e-5,35.97878711348055,599.9933003852295,0.00018120863179702472,-2191.2545371270326,0.0002537365472116133,1359.9999797655962,-777.1774057958309,3999.9996096262075,-1579.9991281557368,-2499.997948367736,0.0002757589279294452,396.11458421125354,2760.696113619258,-5.161169057367297e-5,-10946.347224764191
t3,0.0001893009105320188,-1193.5609735906878,-9066.639116692066,0.0004404361730870241,-6189.406856026444,2170.4754082712725,-1841.449988824636,3019.560089128625,-5.5744059347446405e-5,39.42663550590047,599.993300397938,0.00018081814114518106,-2828.514712642935,0.00025357820385643956,1359.9999797658818,-931.7732823097149,3999.9996103397393,-1491.1482242927648,-2499.9979478657174,0.00027744946526340173,207.75067125461973,2590.724542462569,-5.14507938407941e-5,-12054.559630730379
t4,0.0001893002071887626,-1279.1119238741094,-9019.877771733112,0.0004405858604203437,-6145.6606874763365,2351.8589951129825,-1672.0718683287027,3095.423730200719,-5.573628491380126e-5,45.38871651594764,599.993300403148,0.00018113197166808102,-2048.9909264245653,0.0002537647693980331,1359.9999797660819,-882.8978720852105,3999.999610627953,-1605.4228853003851,-2499.99794636462,0.00027818687094074783,226.29176560138768,2913.242304946674,-5.149065103319508e-5,-10561.8322426694
t5,0.00018930663433758195,-1220.7216368623026,-9616.792341179349,0.00044120418992328283,-6566.404999134584,875.0925541964783,-1769.2767356937431,1457.0313132906056,-5.57381308093049e-5,485.6660149131225,599.9932910325423,1306.7564883373104,-3860.915396009565,0.0002540430875566483,1359.9999801498877,-1275.5258770625544,3999.999613292882,-2199.999094498522,-781.7108219381681,0.004662708753458503,487.8234915268461,3651.3661138487737,-5.162388026942906e-5,-13067.612601889687
t6,0.0001893430595225719,-865.0414346630977,-11233.077220623263,0.00044151338234623013,-7821.020393710021,201.6202810847965,-3341.910426260552,-0.0018470408772528223,-5.5772537243140756e-5,11.495587814886772,599.9931603994305,2785.9196156948256,-6469.27610796186,0.0002561820548335988,1359.9999808267223,-435.26817431006845,826.9311077382738,-2199.999100125447,-0.004689746824237827,4606.463270384562,1000.6144017860921,4310.672870743108,-5.127990787362309e-5,-16661.888337983255
t7,0.00019648664448530508,0.002160231542075894,-14401.17249421336,0.00044165847693312764,-9654.132766956784,458.92393517953985,-3611.927438015765,-0.0017861012052036431,-21.90179762191962,-265.49820899569426,599.9920183707212,2799.999832845804,-7844.103701884123,0.0002568205060245288,1359.9999820907399,391.8037138608518,170.66774488893955,-2199.999857957882,-724.173859276429,7177.783785240528,1911.5563680912755,4340.242721968525,-5.115445362445574e-5,-19511.93880444352
t8,134.93038059600352,0.002156376295502391,-15656.858691689093,0.00042957862778983554,-9671.999069020312,421.57216605250085,-2951.672296984343,-0.0017512778600970742,-1228.0269848096393,-223.65628512507294,599.9920267999303,2799.9996852733652,-5341.41174446541,0.0002477219867680935,1359.999982091061,575.6563449040316,792.7239554588485,-2199.99976683251,-1007.6623594320142,7177.7836155011855,2462.074307874511,4065.3688903206084,-5.023152272787501e-5,-17891.184811318824
t9,0.00018938495007644727,-1063.7183404987784,-14182.29524408447,0.0004414739601883689,-8553.961037238832,-523.8559578241336,2870.7324274337457,3228.5600106691054,-5.593122184114195e-5,0.0015359334864417703,599.9933254869127,2799.9998143370326,0.01550827276284855,-0.0003062234712336295,1359.9999794036016,733.3384491220723,3999.999826101363,-2199.99922829233,-512.0641465085804,456.94617742624325,937.5777244467038,-328.3740229055944,-513.1404798145938,-10890.243409830064
