slot,cluster
1,12
2,12
3,11
4,3
5,3
6,19
7,18
8,6
9,10
10,10
11,12
12,17
13,18
14,19
15,6
16,15
17,6
18,6
19,2
20,2
21,17
22,6
23,17
24,2
25,1
26,17
27,15
28,17
29,2
30,2
31,2
32,17
33,2
34,16
35,16
36,2
37,16
38,2
39,2
40,4
41,7
42,2
43,7
44,8
45,2
46,8
47,8
48,8
49,8
50,20
51,8
52,7
53,8
54,8
55,8
56,7
57,8
58,8
59,8
60,8
61,7
62,7
63,7
64,4
65,4
66,4
67,4
68,4
69,7
70,7
71,19
72,19
73,13
74,4
75,13
76,14
77,5
78,5
79,9
80,10
81,5
82,19
83,10
84,9
85,10
86,11
87,5
88,11
89,14
90,11
91,10
