Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,7.914675435640735e10,3.38486769457135e9,4.1427666729823937e9,7.08285561422798e9,1.7110656519832249e9,3.77943341581908e9,1.459126309715974e9,5.122106543839874e9,4.892211591043502e9,2.940074977221019e9,1.517032392696897e9,8.147705435241481e8,3.1917199253629738e10,1.4317525249068205e9,3.4993968936580553e9,4.685565404935472e9
cFix,4.79929464713972e10,1.2293163948813207e9,1.94384501475471e9,6.132691264552185e9,1.447640022183368e9,2.8320118759723163e9,1.0475694109086982e9,4.798165570446156e9,4.7529380751035e9,1.2054151111747022e9,6.798451352468722e8,6.223925995176464e8,1.6927950329560574e10,5.1418197688139343e8,1.514786291649328e9,2.344197398564423e9
cVar,3.036020581666615e10,2.1555512996900296e9,2.1989216582276826e9,9.501643496757958e8,2.6342562979985678e8,9.443235239059895e8,4.1155690002005076e8,3.2309346367025983e8,1.2245425588741075e8,1.7346598546048923e9,8.371872626395977e8,1.9212399724387535e8,1.4983194445059402e10,9.175705678620507e8,1.9846106020087264e9,2.341368006371049e9
cNSE,1.4461407395071635e8,2.2457477867506396e7,9.437979250683147e7,1.0074364058358418e7,376544.05555062066,-396.5234406996038,-396.89808583199215,-396.8948372575215,-396.9892856848993,-396.89715127330385,-396.8972113057332,986482.6246916755,-396.9040532015471,-396.89704280482846,-396.16132314117914,1.6342983900209595e7
cStart,2.7073196691668846e7,0.0,0.0,0.0,0.0,3.0980159407751877e6,-1.2127748283824982,847509.7234595012,1.6819260052591067e7,11.441423853799003,-5.189572876765814,253946.76262619236,6.054479009764398e6,-19.836623334884496,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,6.219147976995186e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
