Line,New_Trans_Capacity,Cost_Trans_Capacity
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,1611.8217,5.1721744e7
7,391.9999,1.3724309e7
8,1770.9999,5.3287616e7
9,-2.868828e-6,-0.11130479
10,-2.8687818e-6,-0.073397785
11,0.0,0.0
12,-1.6348527e-6,-0.036377106
13,-2.8837608e-6,-0.07667054
14,0.0,0.0
15,0.0,0.0
16,-2.826791e-6,-0.038351074
17,-2.8819104e-6,-0.082978845
18,-2.887923e-6,-0.14478602
19,-2.8477496e-6,-0.07792582
20,-2.8700135e-6,-0.08848252
21,4504.0,1.4265518e8
22,0.0,0.0
23,39.000004,1.04617506e6
