Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,6.675704740146515e10,3.9277361960718203e9,3.929636233296385e9,2.189307399315189e9,1.3001793241686187e9,3.213295131314696e9,9.499881744133395e8,3.647568943933492e9,1.3083205327191725e9,2.5071702274437804e9,1.153017247684653e9,7.561811033134915e8,3.066095875898522e10,1.903567587101655e9,3.1296069517838225e9,5.687054634126601e9
cFix,3.7573888707305824e10,1.9124975953510194e9,1.4861153057229738e9,1.2352977500408878e9,1.0381468770959412e9,2.267324965656897e9,6.400254502040694e8,3.3358788619488e9,1.1508746366875954e9,6.278028316806836e8,3.896484745071523e8,5.90686143067254e8,1.6939205949249172e10,1.2735920385678465e9,1.7802800901394167e9,2.906511737386087e9
cVar,2.8683118989039303e10,2.0152386007208006e9,2.4435209275734105e9,9.540096492743013e8,2.6203244707267728e8,9.451278797384549e8,3.099627133413094e8,3.1169007703060144e8,1.522174818118103e8,1.879367384842627e9,7.633687643978869e8,1.6549491485092598e8,1.3721242850419033e10,6.299755395818255e8,1.3493268616444051e9,2.7805428967405167e9
cNSE,2.3102392169407874e8,7.114072096801545e7,1.0756443478873569e8,5.166573914418238e6,562022.5211734726,1.9221381327202413e6,-240.98443984244676,-241.01797826973308,660321.0869389842,-240.9810672804283,-240.9811334322444,-240.95230419180297,-241.02375661158095,-240.9883462036169,1.8014583566967558e7,2.5994813644135218e7
cStart,6.580749325554404e6,0.0,0.0,0.0,0.0,842285.919342488,10.867960772510019,4.954091005594465,5.228414219766798e6,10.920470045634374,8.779614352777864,45.39531148964986,509959.317014385,8.951983050233832,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,2.6243503409899077e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
