Region description,Network_zones,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,RPS_7,Modeled load
MIS_Central,z1,0,0,0.081,0,0,0,0.7,289464452
MIS_East,z2,0,0,0.143,0,0,0,0.7,222328280
NY_East,z3,0,0,0,0.488,0.488,0,0.7,152963743
NY_West,z4,0,0,0,0.488,0.488,0,0.7,69075286
PJM_COMD,z5,0.221,0.221,0,0,0,0,0.7,133017704
PJM_Delaware,z6,0.356,0.356,0,0,0,0,0.7,25304084
PJM_Dom,z7,0.335,0.335,0,0,0,0,0.7,145442209
PJM_NJCoast,z8,0.49,0.49,0,0,0,0,0.7,30161902
PJM_NJLand,z9,0.49,0.49,0,0,0,0,0.7,76853903
PJM_PECO,z10,0.175,0.175,0,0,0,0,0.7,58804849
PJM_SMAC,z11,0.462,0.462,0,0,0,0,0.7,87856864
PJM_WEST,z12,0.063,0.063,0,0,0,0,0.7,472251850
PJM_WestMAC,z13,0.175,0.175,0,0,0,0,0.7,101518421
SC_TVA,z14,0,0,0,0,0,0.012,0.7,195233212
SC_VACA,z15,0,0,0,0,0,0.074,0.7,283812131
