Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
hydroelectric_pumped_storage,4,240.0,-2.0676189518171104e-6,0.0,240.00000206761896,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,4,1482.3,1482.299835072287,0.0,0.00016492771305820497,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,4,1248.3,1248.2989461948268,0.0,0.001053805173114597,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,7.2,7.199962520733711,0.0,3.7479266289608404e-5,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,94.0,93.99989591384242,0.0,0.00010408615757739881,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,4,4.0,-8.850274885196006e-7,0.0,4.000000885027489,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,4,3365.52,0.0,0.0,3365.52,0,0.0,0.0,0.0,0,0.0,0.0,0.0
onshore_wind_turbine,4,2151.7,-5.425319732939614e-6,0.0,2151.7000054253194,0,0.0,0.0,0.0,0,0.0,0.0,0.0
small_hydroelectric,4,333.96,0.0,0.0,333.96,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,4,218.8,-5.434019473917864e-6,0.0,218.80000543401948,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,2646.0,2645.9990990255505,0.0,0.0009009744494505867,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,42.4,42.399759107442904,0.0,0.00024089255709469626,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,5,689.0,688.9991413810238,0.0,0.0008586189761672358,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,5,3788.4,-5.004005571038811e-6,0.0,3788.400005004006,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,5,7897.5,5029.968950854135,0.0,2867.531049145865,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,5,10667.0,-5.464495032355561e-6,0.0,10667.000005464495,0,0.0,0.0,0.0,0,0.0,0.0,0.0
onshore_wind_turbine,5,1832.9,-5.433772862590849e-6,0.0,1832.900005433773,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,5,54.1,-5.438357946817568e-6,0.0,54.10000543835795,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,6,7.75,0.0,0.0,7.75,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,6,572.0,0.0,0.0,572.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,6,410.0,409.9997293698059,0.0,0.00027063019410888955,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,6,2314.6,1475.0256655661326,0.0,839.5743344338673,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,6,1372.41,1372.4050456163804,0.0,0.004954383619633518,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_steam_turbine,6,450.0,449.99920307812584,0.0,0.0007969218741550321,0,0.0,0.0,0.0,0,0.0,0.0,0.0
solar_photovoltaic,6,213.9,-5.441888954131141e-6,0.0,213.90000544188896,0,0.0,0.0,0.0,0,0.0,0.0,0.0
biomass,7,97.92,0.0,0.0,97.92,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,7,611.66,0.0,0.0,611.66,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,438.0,437.9995594036525,0.0,0.00044059634751647536,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,43.0,42.999796026609616,0.0,0.0002039733903842489,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,242.3,242.29966489319983,0.0,0.0003351068001791191,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal,7,443.0,442.9995829263938,0.0,0.0004170736061723801,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,7,3003.0,-1.1305819271822794e-6,0.0,3003.000001130582,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combined_cycle,7,9072.0,9071.997838377607,0.0,0.002161622393032303,0,0.0,0.0,0.0,0,0.0,0.0,0.0
natural_gas_fired_combustion_turbine,7,4485.08,4485.077006040544,0.0,0.002993959456034645,0,0.0,0.0,0.0,0,0.0,0.0,0.0
nuclear,7,3708.0,-5.463602317035145e-6,0.0,3708.0000054636025,0,0.0,0.0,0.0,0,0.0,0.0,0.0
