Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Total
Sum,386019.53,7.455113e6,-8.110822e7,-343078.28,-5.488639e7,-1.7390734e7,-9.552243e6,3.989963e6,-1.3090257e7,-1.3001128e6,812134.94,2.6794162e7,2.873228e7,2.5214422e7,1.1080016e7,1.0534738e6,-126395.664,-1.432089e7,-9.728689e6,2.3782746e7,3.0359052e7,9.624282e6,-283747.78,-3.2847094e7
t1,0.0002806067583602355,-92.39643836059163,-14622.34286936477,0.0006549832568641129,-8578.339665767728,0.01674842288081101,0.010117443367128207,771.4345453530011,-8.238624464696598e-5,-420.32286813534284,21.052199362723826,3180.3180023031146,2225.2738543868554,5195.99171278043,1359.9999851637644,231.29116162299204,3244.900934519216,-2199.9971874902635,-0.0011686524442056905,1142.5403689269126,4563.558556871872,-3.393792853064072e-5,-255.33573997218684,-4232.3469313203595
t2,0.00028046485696848783,-450.0532476788982,-11686.051270778222,0.0006548377130740802,-7330.842334633809,54.63338278353369,0.029032858269442754,1329.7387838669606,-8.206601030093827e-5,-614.756503539201,0.0007310234619726489,3180.317961624166,1803.2279012033453,4948.640475664465,1359.9999851617793,150.96478171339947,3544.474324540843,-2090.321451669393,-0.0001808165002199439,157.50066027187592,2864.7467051281656,-0.00015361419857720996,-551.9919563610571,-3329.7415200144533
t3,0.00028044037622732454,-876.7654489241511,-10510.663006057668,0.0006547837761431576,-6774.060741325641,46.4187760494373,0.02879702069109507,1045.1900020914554,-8.198141787686133e-5,-624.6010700935427,0.0007521652063248048,3180.3179614250357,1674.6863812486229,4690.817444264708,1359.9999851619982,81.88908280101417,3723.6788916088885,-1879.0708943504962,-0.0001771203594416802,141.93173522799853,2602.3941212910204,-0.00015484700100243636,-551.9919790959476,-2669.7986882159958
t4,0.00028043340668459487,-1074.96517618865,-10051.538772429416,0.0006547849099863808,-6565.262615809164,57.54499031155934,0.02892105562779183,746.5805992422221,-8.193279356251794e-5,-640.6605582119038,0.0007602468536863929,3180.317961446748,1789.9055603704812,4564.348188256179,1359.9999851620203,55.81482426704102,3746.181216844703,-1769.3899066041288,-0.00017364865402068135,281.0274165007555,2675.0684000310707,-0.0001551458096819,-551.99198418034,-2196.989665197283
t5,0.00028044721105190877,-1066.2877061640056,-10433.874118456562,0.0006548288482441848,-6901.942546437541,-948.7373785739952,-488.5187558231306,0.007370418968148176,-8.190878688969831e-5,-638.2861745348328,0.0007259232826657778,3180.3179621587137,1890.6087253556202,4732.676449771428,1359.9999851640027,62.90654718112105,2915.5477199209467,-2054.3620584880036,-0.00016632273810002999,1868.7977444797427,3089.7433175335495,-0.00015480825293731664,-551.9919787427979,-3983.3936370772103
t6,0.0002805286399623687,-783.484277401529,-11855.523257026141,0.0006548849983403888,-8086.063809849995,-268.473685647426,-3486.822912650332,0.007216962624970532,-8.193404139601892e-5,-292.0639479984571,299.9959720829859,3180.318025719531,2091.7509499096313,5083.465208271439,1359.9999851672717,60.302413326070145,73.41226354077986,-2199.9983382733735,-0.002932414259884943,5260.430045475104,3732.0770675401504,-0.0001529456082617748,-551.9919132398078,-6382.665225971746
t7,0.0003440104398262029,-73.30349969888358,-14721.719464364278,0.0006549405338241253,-9671.98054444944,-62.7861356987893,-3717.0575853793634,-0.0022890477093584155,-8.223251073237941e-5,132.14590991239197,299.9960365163336,3180.317975733929,0.0016553489060550184,4302.336511419078,1359.9999855178444,0.0005498021133455806,-0.0019444685888741796,-2199.998353009312,-0.0030106114743944593,6327.921707758744,5209.794680430546,7.524422942192089e-5,-0.0035318250808318635,-9634.340354150341
t8,53.08763400164116,-6709.998175281093,-9017.943861227477,0.0006427933262179063,-9671.998597432255,-0.00059982876709407,-2655.2687866747956,-0.0001410001091210521,0.0003368135454525455,-308.6713250916639,0.01803413712833668,3180.318033915275,1637.3798661573553,4580.40478054997,1359.9999855209078,649.2534709727555,0.002101924906183406,-2199.9984630358163,-0.003711133458820305,6354.198080925498,5073.391794659888,-0.00015245564953703577,-551.9921333264109,-8227.821184115304
t9,0.0003350327714576424,0.003933038524012542,-12893.23166657336,0.0007820513423761504,-6848.713077391045,-390.87705526608005,2600.36086983074,2499.999292635057,-1922.7481299377446,0.0013746528197736713,299.9979940134986,3180.3180462185214,11799.999212641733,-211.90442285472372,1359.9999825532018,600.418482502036,2137.1315414837372,-2199.9777036636997,-0.00034893378832414343,1149.7019984132764,2241.842149733722,-4415.998940895901,-551.9993925949284,-1565.6747433102873
t10,0.00033763772601451105,0.003992015257603993,-1979.042180766601,-557.8851576351557,-4117.815632572517,-1198.8808571057862,4259.830423545354,2499.9999842818434,-1863.0938463176703,-10.971691914258058,299.9979925185364,3180.3180459813216,11799.998825253897,-5195.999971072766,1359.9999823539497,391.8129146380093,3999.9966199046253,-2199.9978885402625,-0.0030773170117270147,137.93501526105769,-2324.549601360139,-4415.999972039579,-551.9999685457404,3513.6542882040903
