Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15
9000.0,1.0,1.0,1.0,9000.0,20.0,96.0,384.0,1,25819.0,19371.0,19548.0,7758.0,11161.0,2287.0,13490.0,3726.0,7794.0,7017.0,8136.0,47760.0,10878.0,17970.0,28336.0
,2.0,0.067,0.075,603.0,,,192.0,2,25212.0,19879.0,19396.0,7709.0,10573.0,2230.0,13213.0,3678.0,7610.0,6984.0,7963.0,46794.0,10797.0,17965.0,28118.0
,,,,,,,1248.0,3,24691.0,19129.0,19087.0,7610.0,10232.0,2222.0,13124.0,3658.0,7506.0,6927.0,7850.0,46355.0,10776.0,18225.0,28126.0
,,,,,,,768.0,4,24534.0,18817.0,19257.0,7733.0,10008.0,2218.0,13144.0,3718.0,7525.0,7049.0,7899.0,46512.0,10866.0,18804.0,29045.0
,,,,,,,576.0,5,24587.0,18696.0,19724.0,7988.0,9964.0,2248.0,13405.0,3792.0,7626.0,7185.0,8022.0,47131.0,11121.0,20390.0,31243.0
,,,,,,,96.0,6,25187.0,18624.0,20327.0,8227.0,10252.0,2338.0,14063.0,3922.0,7846.0,7498.0,8447.0,48979.0,11658.0,22268.0,35268.0
,,,,,,,384.0,7,26360.0,18464.0,21145.0,8392.0,10890.0,2488.0,14941.0,4268.0,8346.0,8036.0,9036.0,52210.0,12476.0,22854.0,36491.0
,,,,,,,384.0,8,28231.0,19533.0,20749.0,8232.0,11540.0,2543.0,15891.0,4059.0,8194.0,7882.0,9148.0,54515.0,12494.0,22347.0,36088.0
,,,,,,,480.0,9,28891.0,20176.0,19332.0,7816.0,11735.0,2366.0,15840.0,3452.0,7570.0,7728.0,8581.0,55246.0,12389.0,21310.0,34231.0
,,,,,,,288.0,10,28951.0,20698.0,17764.0,7350.0,11981.0,2194.0,15255.0,2821.0,6876.0,7319.0,7741.0,53819.0,11921.0,20312.0,32101.0
,,,,,,,672.0,11,28644.0,20929.0,17595.0,7283.0,12175.0,2037.0,14773.0,2622.0,6635.0,7473.0,7410.0,52731.0,11924.0,19759.0,30562.0
,,,,,,,96.0,12,28400.0,20895.0,16463.0,6914.0,12298.0,1944.0,14412.0,2370.0,6327.0,7204.0,7094.0,51600.0,11505.0,19470.0,29638.0
,,,,,,,384.0,13,28094.0,20790.0,16483.0,6902.0,12207.0,1867.0,14199.0,2354.0,6261.0,7115.0,7000.0,50392.0,11295.0,19260.0,29240.0
,,,,,,,96.0,14,27694.0,20652.0,16753.0,6978.0,12160.0,1855.0,13783.0,2403.0,6284.0,6913.0,6942.0,49264.0,11026.0,19164.0,28753.0
,,,,,,,288.0,15,27701.0,20582.0,18270.0,7465.0,12200.0,1916.0,13930.0,2731.0,6655.0,6987.0,7277.0,48993.0,10956.0,19604.0,29161.0
,,,,,,,1344.0,16,28566.0,20837.0,21973.0,8643.0,12582.0,2151.0,14711.0,3616.0,7739.0,7762.0,8190.0,50619.0,11694.0,21247.0,31177.0
,,,,,,,192.0,17,30351.0,21656.0,25224.0,9497.0,13163.0,2576.0,16150.0,4950.0,9501.0,9087.0,9757.0,54001.0,13031.0,23576.0,35590.0
