region,Resource,cluster,R_ID,zone,voltage_level,CapRes_1,THERM,DISP,NDISP,STOR,DR,HEAT,NACC,TRADER,HYDRO,Commit,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex,Inv_cost_per_MWyr,Fixed_OM_cost_per_MWyr,capex_mwh,Inv_cost_per_MWhyr,Fixed_OM_cost_per_MWhyr,Var_OM_cost_per_MWh,Var_OM_cost_per_MWh_in,Externality_cost_MWh,Start_cost_per_MW,Start_fuel_MMBTU_per_MW,Heat_rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_DSM_delay,Ramp_Up_percentage,Ramp_Dn_percentage,Up_time,Down_time,NACC_Eff,NACC_Peak_to_Base,Reg_Up,Reg_Dn,Rsv_Up,Rsv_Dn,Reg_Cost,Rsv_Cost,spur_miles,spur_line_capex,interconnect_annuity,Power_uprate_cost_per_MWyr,Max_Uprate_MW,Hydro_level,Existing_Charge_Cap_MW,Existing_cap_MWh,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6
PJM_COMD,utilitypv_losangeles,PJM_COMD_solarpv_4,225,5,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,370,27832.431,0,0,529896.5085,63346.17616,12451,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14771.575,0,0,0,0,0,1,1,0,0,0,0
PJM_COMD,battery,1,226,5,trans,0.95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,339600,37766,8490,103700,11532,2592,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_COMD,nuclear,1,227,5,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,0,-1,0,0,5995730.391,592300.941,100888,0,0,0,2.3,0,0,256,0,10.46,0,0,east_north_central_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,50,260000,18873.941,0,0,0,0,0,0,1,0,0,0,0
PJM_COMD,naturalgas_ccs100,1,228,5,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,2019501.661,223476.577,43290,0,0,0,7.7,0,0,95,3.5,7.86,0,0,east_north_central_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_Delaware,naturalgas_ccccsavgcf,1,229,6,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,1903501.661,202845.577,33620,0,0,0,7.2,0,0,95,3.5,7.49,0,0,middle_atlantic_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_Delaware,naturalgas_ccavgcf,1,230,6,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,742707.134,99704,10032,0,0,0,2,0,0,95,3.5,6.15,0,0,middle_atlantic_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Delaware,naturalgas_ctavgcf,1,231,6,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,633144.257,80055,6848,0,0,0,10.8,0,0,123,3.5,8.8,0,0,middle_atlantic_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Delaware,offshorewind_otrg3,PJM_Delaware_offshorewind_55,232,6,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1835,3246.703,0,0,1791524.834,383530.725,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,213856.725,0,0,0,0,0,1,1,0,0,0,0
PJM_Delaware,utilitypv_losangeles,PJM_Delaware_solarpv_5,233,6,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,210,6570,0,0,529896.5085,59243.2863,12451,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10931.123,0,0,0,0,0,1,1,0,0,0,0
PJM_Delaware,battery,1,234,6,trans,0.95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,0,0,339600,37631,8490,103700,11491,2592,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Delaware,nuclear,1,235,6,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,0,-1,0,0,5995730.391,540387.941,100888,0,0,0,2.3,0,0,256,0,10.46,0,0,middle_atlantic_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,50,260000,18873.941,0,0,0,0,0,0,1,0,0,0,0
PJM_Delaware,naturalgas_ccs100,1,236,6,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,2019501.661,214747.577,43290,0,0,0,7.7,0,0,95,3.5,7.86,0,0,middle_atlantic_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_Dom,naturalgas_ccccsavgcf,1,237,7,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,1903501.661,194618.577,33620,0,0,0,7.2,0,0,95,3.5,7.49,0,0,south_atlantic_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_Dom,naturalgas_ccavgcf,1,238,7,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,742707.134,92163,10032,0,0,0,2,0,0,95,3.5,6.15,0,0,south_atlantic_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom,naturalgas_ctavgcf,1,239,7,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,633144.257,72622,6848,0,0,0,10.8,0,0,123,3.5,8.8,0,0,south_atlantic_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom,landbasedwind_ltrg1,PJM_Dom_wind_38,240,7,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16181.336,0,0,1187155.679,163943.134,37343,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,15707.134,0,0,0,0,0,1,1,0,0,0,0
PJM_Dom,offshorewind_otrg3,PJM_Dom_offshorewind_56,241,7,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1180,1190.294,0,0,1791524.834,385130.267,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,208415.267,0,0,0,0,0,1,1,0,0,0,0
PJM_Dom,offshorewind_otrg3,PJM_Dom_offshorewind_57,242,7,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3385,3385.35,0,0,1791524.834,429332.156,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,252617.156,0,0,0,0,0,1,1,0,0,0,0
PJM_Dom,utilitypv_losangeles,PJM_Dom_solarpv_6,243,7,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,81485.446,0,0,529896.5085,53949.9686,12451,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7461.271,0,0,0,0,0,1,1,0,0,0,0
PJM_Dom,battery,1,244,7,trans,0.95,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2300,-1,0,0,339600,37631,8490,103700,11491,2592,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_Dom,nuclear,1,245,7,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,500,0,-1,0,0,5995730.391,498619.941,100888,0,0,0,2.3,0,0,256,0,10.46,0,0,south_atlantic_uranium,0.5,0,1,1,1,0,0,0,0.25,0.25,24,24,0,0,0,0,0,0,0,0,50,260000,18873.941,0,0,0,0,0,0,1,0,0,0,0
PJM_Dom,naturalgas_ccs100,1,246,7,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,2019501.661,206018.577,43290,0,0,0,7.7,0,0,95,3.5,7.86,0,0,south_atlantic_naturalgas_ccs100,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_NJCoast,naturalgas_ccccsavgcf,1,247,8,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,1903501.661,202845.577,33620,0,0,0,7.2,0,0,95,3.5,7.49,0,0,middle_atlantic_naturalgas_ccs90,0.6,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,20,104000,7549.577,0,0,0,0,0,0,1,0,0,0,0
PJM_NJCoast,naturalgas_ccavgcf,1,248,8,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,500,0,-1,0,0,742707.134,99704,10032,0,0,0,2,0,0,95,3.5,6.15,0,0,middle_atlantic_naturalgas,0.2,0,1,1,1,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_NJCoast,naturalgas_ctavgcf,1,249,8,trans,0.93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100,0,-1,0,0,633144.257,80055,6848,0,0,0,10.8,0,0,123,3.5,8.8,0,0,middle_atlantic_naturalgas,0.3,0,1,1,1,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PJM_NJCoast,offshorewind_otrg3,PJM_NJCoast_offshorewind_58,250,8,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2380,2381.086,0,0,1791524.834,345645.934,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,175971.934,0,0,0,0,0,1,1,0,0,0,0
PJM_NJCoast,offshorewind_otrg3,PJM_NJCoast_offshorewind_59,251,8,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1620,1625,0,0,1791524.834,394618.092,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,224944.092,0,0,0,0,0,1,1,0,0,0,0
PJM_NJCoast,offshorewind_otrg3,PJM_NJCoast_offshorewind_60,252,8,trans,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3500,3867.5,0,0,1791524.834,439087.827,66359,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,269413.827,0,0,0,0,0,1,1,0,0,0,0
