Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15
cTotal,8.273951580921094e10,7.917900954227972e9,4.519504310025341e9,6.352393341727356e9,1.957211081428721e9,5.461474021446628e9,8.512476455450424e8,6.713020323021953e9,1.6168298889570947e9,2.0256876481890526e9,1.6428235145955071e9,2.459101736262152e9,2.132420599067458e10,4.32294358794763e9,5.39203564961245e9,9.890504794328562e9
cFix,6.1368198990368904e10,6.577824455147948e9,1.5614468729031897e9,3.6060367077629256e9,1.6900257637661169e9,4.475976963486987e9,8.275321348810432e8,6.443289309636355e9,1.4555383437976394e9,4.1674165744554746e8,7.164758491695989e8,2.292618579911996e9,1.3800127503447647e10,3.7716189712501397e9,4.75016561163334e9,8.982780266128445e9
cVar,2.102168777213784e10,1.3400764990800235e9,2.9580574371221523e9,2.7463566339644303e9,2.671853176626046e8,9.816726529375194e8,2.371541211765342e7,2.6973100980606985e8,1.545302911915077e8,1.5976701043742306e9,9.202329744049337e8,1.6646979061173946e8,7.503315469995505e9,5.430796126916747e8,6.418700379791101e8,9.077245282001163e8
cNSE,1.275650498038683e8,1.3253999551188784e7,4.143307670113489e7,-263.6749819602006,-263.717646415154,-263.7216173231774,-263.7352593010327,-263.75254875053656,-263.9026566180387,-263.7207603679268,-263.72185736527933,705025.5027145788,-263.73708065343953,-263.73964359436627,1.5755026820894342e7,5.642055865198859e7
cStart,5.699772548185368e7,0.0,0.0,0.0,0.0,3.824405022122892e6,98.546345760946,3.579526345717458,6.761253967947479e6,1.1275886369274547e7,6.114691020974483e6,13365.73841655998,2.0763017231429785e7,8.245004005815508e6,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.6506627141694742e8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
