Segment,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,Total
Zone,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,0
Sum,-0.02773944,21980.514,1456.3406,46975.145,-0.027739467,-0.023250056,-0.027739527,-0.0233199,-0.027739787,-0.023322592,-0.027739607,-0.023347914,-0.027739713,-0.023375021,-0.027740702,-0.023609182,-0.027739607,-0.023323877,-0.027739773,-0.023323238,-0.027739624,1169.6106,-0.02773963,-0.023350608,-0.027739765,-0.023352837,-0.027739659,26128.154,-0.027739638,93566.84,191275.94
t1,-3.1571312739475576e-6,-2.3896504540228786e-6,-3.157162110259971e-6,-2.384339510228655e-6,-3.1571079699979287e-6,-2.388464545510114e-6,-3.1570731795155644e-6,-2.3893488653530123e-6,-3.1571809031521245e-6,-2.3907773694057754e-6,-3.1570854284103653e-6,-2.3913081675108083e-6,-3.15709200775283e-6,-2.391353472164766e-6,-3.157400666274612e-6,-2.4605877706193536e-6,-3.1571413225333186e-6,-2.3910274247775093e-6,-3.1571915550347715e-6,-2.3905895446375746e-6,-3.1571065545684634e-6,-2.390927628352494e-6,-3.157106190795258e-6,-2.3916044912691536e-6,-3.157161533843904e-6,-2.391437610473288e-6,-3.157182504015039e-6,-2.390778214592732e-6,-3.157182268296478e-6,-2.3901429266549024e-6,-4.1982475923506956e-5
t2,-3.157125989360855e-6,-2.3896437791931024e-6,-3.1571567875106098e-6,-2.3843139958113104e-6,-3.157107035883449e-6,-2.389030819399954e-6,-3.1570701109065578e-6,-2.3899052619657426e-6,-3.15716852217298e-6,-2.390774639966487e-6,-3.157075527555646e-6,-2.3913059961926035e-6,-3.157076129264311e-6,-2.3913449049917978e-6,-3.1573860159813154e-6,-2.4605814793044038e-6,-3.157129806650888e-6,-2.3910275333660384e-6,-3.157182616866659e-6,-2.390593265277875e-6,-3.157096362639085e-6,-2.3909294196653558e-6,-3.1570947193040093e-6,-2.3915877730298665e-6,-3.1571495002058085e-6,-2.391428386299811e-6,-3.1571747984286866e-6,-2.390767310047623e-6,-3.157178303095725e-6,-2.390158046398802e-6,-4.1983485516156726e-5
t3,-3.157124445683918e-6,-2.389645517160568e-6,-3.157156711381271e-6,-2.3843349466223796e-6,-3.15710499525834e-6,-2.3890405975897036e-6,-3.157068113087661e-6,-2.389912823226707e-6,-3.157166345730838e-6,-2.3907769164362776e-6,-3.1570738547713256e-6,-2.3913083792756113e-6,-3.1570727212970518e-6,-2.391342508110093e-6,-3.157384427402578e-6,-2.460584261410997e-6,-3.1571274719950257e-6,-2.391031494635278e-6,-3.1571822495327726e-6,-2.3909573926479722e-6,-3.1570947439005535e-6,-2.3909311416108713e-6,-3.1570922727929386e-6,-2.3915853743462715e-6,-3.1571468671664984e-6,-2.391427973238315e-6,-3.1571728075643935e-6,-2.3907618379855753e-6,-3.157176202426568e-6,-2.3901631821609075e-6,-4.198351330303433e-5
t4,-3.1571236706886047e-6,-2.3896422505663293e-6,-3.1571571556974386e-6,-2.3843412249237168e-6,-3.1571032273391327e-6,-2.38903669933762e-6,-3.157065888061521e-6,-2.3899070097382588e-6,-3.1571654826786262e-6,-2.3907784836361167e-6,-3.1570746871159868e-6,-2.3913071190877763e-6,-3.157071349587986e-6,-2.391331625293863e-6,-3.1573833693745272e-6,-2.46058464352997e-6,-3.1571272385657025e-6,-2.3910340277327804e-6,-3.1571822314705154e-6,-2.390960881617902e-6,-3.1570947708692355e-6,-2.390926745666565e-6,-3.1570878584864405e-6,-2.3915800826805648e-6,-3.1571464378436457e-6,-2.3914281078545462e-6,-3.1571726396726466e-6,-2.390746120827596e-6,-3.1571764250594477e-6,-2.390150100010208e-6,-4.19834892431275e-5
t5,-3.1571238278748884e-6,-2.3896359734367174e-6,-3.157158142925773e-6,-2.384337554338007e-6,-3.157100520711262e-6,-2.389020670543769e-6,-3.157067676760667e-6,-2.389894639123906e-6,-3.1571672338934983e-6,-2.390885325042333e-6,-3.1570767095801192e-6,-2.3914109821219413e-6,-3.157073143857591e-6,-2.3914214358666803e-6,-3.157385211007338e-6,-2.460629739672691e-6,-3.157128494701162e-6,-2.391139251492333e-6,-3.157183410999466e-6,-2.3910653821435254e-6,-3.157096502224653e-6,-2.3910232891344887e-6,-3.1570887570636295e-6,-2.3916195129225364e-6,-3.157147841180624e-6,-2.391527354437888e-6,-3.1571724008181447e-6,-2.390710912312896e-6,-3.157170891451521e-6,-2.3901117294949013e-6,-4.198375904708449e-5
t6,-3.157122076064843e-6,-2.389618093637978e-6,-3.1571573990083396e-6,-2.3843190104020572e-6,-3.15709814761339e-6,-2.3890202791534945e-6,-3.157067835436498e-6,-2.3898935592875713e-6,-3.1571680219429475e-6,-2.3908916511296305e-6,-3.1570790527790976e-6,-2.391408053558976e-6,-3.1570727969986245e-6,-2.3914018842121565e-6,-3.1573872215897142e-6,-2.460626850313462e-6,-3.1571291985271447e-6,-2.391137829397129e-6,-3.1571842432614945e-6,-2.391058834406393e-6,-3.157097502389418e-6,-2.391007203733757e-6,-3.157082632953405e-6,-2.39160152338914e-6,-3.1571483061561555e-6,-2.3915213313290463e-6,-3.157172133709076e-6,-2.390670112420652e-6,-3.157165366657387e-6,-2.390050057082961e-6,-4.198370508281532e-5
t7,-3.1571151733259117e-6,-2.389589595777146e-6,-3.1571541502176074e-6,-2.384279982189962e-6,-3.1570960677142153e-6,-2.389038721071904e-6,-3.1570626372560535e-6,-2.3899104475041007e-6,-3.1571661635820232e-6,-2.3909696811358278e-6,-3.15708103093802e-6,-2.3914870783455693e-6,-3.15706604156194e-6,-2.3913507815282616e-6,-3.1573832562492236e-6,-2.4606460155475364e-6,-3.1571267238124607e-6,-2.391174713161211e-6,-3.1571822576127647e-6,-2.3910995958338165e-6,-3.157095208273099e-6,-2.3910703907842253e-6,-3.157064617050108e-6,-2.39161992067405e-6,-3.1571450311512456e-6,-2.3915560536753053e-6,-3.157171820772602e-6,-2.390660167758773e-6,-3.1571607791860666e-6,-2.3900295787537064e-6,-4.198375080839777e-5
t8,-3.1571115966602172e-6,-2.3895962089008583e-6,-3.1571467668203047e-6,-2.38241413685289e-6,-3.157107311233181e-6,-2.39137857074297e-6,-3.157072792916349e-6,-2.39220399552954e-6,-3.1571661821697598e-6,-2.3914955881211727e-6,-3.157084590260589e-6,-2.392621832561423e-6,-3.15706504463398e-6,-2.391427531093464e-6,-3.157392337613111e-6,-2.462488734703418e-6,-3.157132210727347e-6,-2.392537401107739e-6,-3.157187612192557e-6,-2.392473652128278e-6,-3.1571000204642713e-6,-2.3922131674163893e-6,-3.1570620954833535e-6,-2.392123344183341e-6,-3.1571504158474804e-6,-2.3928977471240755e-6,-3.1571764476709846e-6,-2.3906835815901514e-6,-3.157165723166453e-6,-2.3900453939395254e-6,-4.198828448610981e-5
t9,-3.1571295156865797e-6,-2.393669932781074e-6,-3.1571474828216168e-6,-2.3824153392079683e-6,-3.157113285138751e-6,-2.3923718014484843e-6,-3.1570701895207253e-6,-2.392281843959697e-6,-3.1571780527382574e-6,-2.3935580489540273e-6,-3.157086279775037e-6,-2.392919636063824e-6,-3.1570871917392993e-6,-2.3953023771589015e-6,-3.1573904202000434e-6,-2.460382951429923e-6,-3.157132812968674e-6,-2.3922621454211255e-6,-3.1571859106121197e-6,-2.3921739353778395e-6,-3.157096821290053e-6,-2.39112143913616e-6,-3.157069626325232e-6,-2.394461442740249e-6,-3.1571455429631777e-6,-2.391566958361113e-6,-3.1571914346265834e-6,-2.39370994049627e-6,-3.1571955599224923e-6,-2.3957232164113287e-6,-4.1999721397194296e-5
t10,-3.157142172525316e-6,-2.39540921348366e-6,-3.157178866656424e-6,-2.3902004808674533e-6,-3.1571173758786085e-6,-2.3929398268348105e-6,-3.1570740217075405e-6,-2.39284151246145e-6,-3.1571770543614853e-6,-2.393872245597199e-6,-3.1570854627636114e-6,-2.3933899669913073e-6,-3.1570962785706563e-6,-2.395497620515768e-6,-3.1573762412394953e-6,-2.4579733344454115e-6,-3.157134861191827e-6,-2.3928064276954673e-6,-3.1571874483260524e-6,-2.3927021030315732e-6,-3.1570976059854554e-6,-2.3912069517219753e-6,-3.1570792200045526e-6,-2.3946257687636953e-6,-3.157148775595346e-6,-2.392139055421106e-6,-3.157209651735584e-6,-2.3963978018770366e-6,-3.157210041088954e-6,-2.396095749722833e-6,-4.2011398340454787e-5
t11,-3.157158574861703e-6,-2.3981372458118238e-6,-3.1571812377525587e-6,-2.390927454069847e-6,-3.1571330511605716e-6,-2.3959285197053675e-6,-3.1570897816209555e-6,-2.396638040871044e-6,-3.1571749480149995e-6,-2.393880361878153e-6,-3.1570836283954006e-6,-2.3934102534049665e-6,-3.1570978980109784e-6,-2.3955444624059756e-6,-3.157378836574483e-6,-2.4579907771142007e-6,-3.157148382095651e-6,-2.395816887678932e-6,-3.1572000136459532e-6,-2.39571454484871e-6,-3.157114022707949e-6,-2.3953538544945246e-6,-3.1570833942001606e-6,-2.39468481084603e-6,-3.1571641896913526e-6,-2.395986148342147e-6,-3.157488969757482e-6,-2.4577870904069785e-6,-3.1574864956534237e-6,-2.4577914929542504e-6,-4.202176429453882e-5
t12,-3.157164883389128e-6,-2.3981712479677815e-6,-3.157194024860172e-6,-2.3936350912462873e-6,-3.1571350072151115e-6,-2.3959803801290772e-6,-3.1570925286560645e-6,-2.3966841933791828e-6,-3.157178079527033e-6,-2.393913782061704e-6,-3.157086335796892e-6,-2.393425769421537e-6,-3.157090664645979e-6,-2.3955583927908978e-6,-3.1573807591863458e-6,-2.4580060491921048e-6,-3.1571508429345855e-6,-2.395863071539117e-6,-3.1572024234362038e-6,-2.395762964853844e-6,-3.157114117483999e-6,-2.3953814882701723e-6,-3.1570856553827106e-6,-2.394717862955305e-6,-3.1571647660010235e-6,-2.3961624584993556e-6,-3.157433797702446e-6,-2.446418273858313e-6,-3.1574267284309916e-6,-2.4463926776183417e-6,-4.2024691140273196e-5
t13,-3.157440457717636e-6,-2.457536002806846e-6,-3.1571960502027326e-6,-2.393654854174238e-6,-3.157126715880606e-6,-2.3959875074646676e-6,-3.1570917522547667e-6,-2.3967020528940946e-6,-3.1571803828089853e-6,-2.3939630291026514e-6,-3.1570862388883386e-6,-2.3934497351281984e-6,-3.157088886232105e-6,-2.3955860175241605e-6,-3.157378781634066e-6,-2.4584409674277755e-6,-3.157149909613884e-6,-2.395879481447683e-6,-3.1572023862366225e-6,-2.395775278730157e-6,-3.157118315389955e-6,-2.3957981057074824e-6,-3.1570933524816003e-6,-2.394766690809909e-6,-3.157167173258289e-6,-2.3962086689123626e-6,-3.1574947583394104e-6,-2.457845407309551e-6,-3.157480948286145e-6,-2.4577908257540517e-6,-4.2084468464714095e-5
t14,-3.1574429749315222e-6,-2.4575410336318623e-6,-3.1571972163264203e-6,-2.3936526942586006e-6,-3.1571162919913463e-6,-2.395965458940628e-6,-3.1570905418682915e-6,-2.3966957651427908e-6,-3.1571822855135925e-6,-2.393969790813228e-6,-3.157085102715772e-6,-2.3934322107096056e-6,-3.157088297601763e-6,-2.3955937212898555e-6,-3.157373514425304e-6,-2.458423752469274e-6,-3.1571489122382884e-6,-2.3958757683398885e-6,-3.1572026252927453e-6,-2.39577274354389e-6,-3.157118842565551e-6,-2.3957959793172853e-6,-3.1570968694641133e-6,-2.3947692679123717e-6,-3.1571685911361624e-6,-2.396214238574338e-6,-3.1574986025992983e-6,-2.457838328024533e-6,-3.1574795681952227e-6,-2.457781503889355e-6,-4.2084426900160586e-5
t15,-3.1574403662611578e-6,-2.457414508828e-6,-3.1571966179986196e-6,-2.3936268808989043e-6,-3.1571155171740543e-6,-2.3959066244016314e-6,-3.15708964756277e-6,-2.396662707220578e-6,-3.1571909856168973e-6,-2.39568870572498e-6,-3.1570943953365854e-6,-2.396130189695396e-6,-3.1570939416779467e-6,-2.397727822337222e-6,-3.1573601945069944e-6,-2.4561342083431285e-6,-3.1571478909604e-6,-2.395849413882096e-6,-3.15720143960727e-6,-2.395757422929047e-6,-3.1571173657662205e-6,-2.3959415638749112e-6,-3.157100559195131e-6,-2.3964900311824418e-6,-3.1571664706048173e-6,-2.39626956007645e-6,-3.1574929593707597e-6,-2.4577588158395488e-6,-3.1574744059516517e-6,-2.457711688991145e-6,-4.209073910524174e-5
t16,-3.1571601954620926e-6,-2.397133482601547e-6,-3.1571826412422824e-6,-2.390207834161231e-6,-3.1571106579860415e-6,-2.3949114976807746e-6,-3.1570853647077922e-6,-2.3957175538382994e-6,-3.1571851980332303e-6,-2.3956986809014104e-6,-3.157097387107334e-6,-2.3960855245271957e-6,-3.157091749633185e-6,-2.3976339702632213e-6,-3.1573410356580202e-6,-2.4508440815443525e-6,-3.157150779407167e-6,-2.3957597305826687e-6,-3.1572036335676298e-6,-2.395684860669844e-6,-3.157117591926881e-6,-2.395823840396184e-6,-3.1570870806680057e-6,-2.39638429750062e-6,-3.157164426395912e-6,-2.3961353376527778e-6,-3.157224004038853e-6,-2.400830247568736e-6,-3.1572022987247444e-6,-2.3997913428140487e-6,-4.2024642773803655e-5
t17,-3.1571389733445786e-6,-2.39374601563886e-6,-3.157182052498493e-6,-2.3900840474821854e-6,-3.1570666348673686e-6,-2.384756056730779e-6,-3.157047236053318e-6,-2.38575766612209e-6,-3.1571775978780796e-6,-2.3936240957711783e-6,-3.157067521295207e-6,-2.387919805064871e-6,-3.1570716017416807e-6,-2.3939990141789555e-6,-3.1573413248847617e-6,-2.4506696764257977e-6,-3.1571107459065693e-6,-2.385802933989852e-6,-3.157164348863658e-6,-2.385711551293652e-6,-3.1570939520555403e-6,-2.3902307915827028e-6,-3.157067905796355e-6,-2.394446355629757e-6,-3.1571414998660333e-6,-2.390812089433481e-6,-3.1571862279831098e-6,-2.393550425811579e-6,-3.15716132698189e-6,-2.393473940181243e-6,-4.198697964355242e-5
t18,-3.1570793870502334e-6,-2.3828431564897406e-6,-3.1571319860766294e-6,-2.3780617665286855e-6,-3.1570671926837337e-6,-2.3825355448261945e-6,-3.157044578275801e-6,-2.3835808583246234e-6,-3.157179957512494e-6,-2.3935891899169804e-6,-3.1570984241314286e-6,-2.394033201025805e-6,-3.157063126204765e-6,-2.393866185149041e-6,-3.15737624277925e-6,-2.456047255603112e-6,-3.1571056452043173e-6,-2.3836571678194403e-6,-3.1571593364735595e-6,-2.383549503638129e-6,-3.157108724364172e-6,-2.3936876279803667e-6,-3.1570550949316106e-6,-2.39425080413134e-6,-3.1571576408123767e-6,-2.3942353382759468e-6,-3.1571346617150585e-6,-2.3825627340909963e-6,-3.157099834749703e-6,-2.382049148283956e-6,-4.196555079697541e-5
t19,-3.157083715101547e-6,-2.382816582086601e-6,-3.1571329917030815e-6,-2.378031439518123e-6,-3.157074527543945e-6,-2.3825369212406358e-6,-3.1570427579255487e-6,-2.3835734026438545e-6,-3.157144320257033e-6,-2.3843774687253656e-6,-3.157060917232415e-6,-2.3848149347152505e-6,-3.1570281243671786e-6,-2.3846491647229863e-6,-3.1573380665201884e-6,-2.4481986019358228e-6,-3.1571071176454523e-6,-2.383639755971949e-6,-3.157162240983186e-6,-2.3835531370658056e-6,-3.1570725434824207e-6,-2.3844887635422474e-6,-3.157027853687736e-6,-2.3850363135560144e-6,-3.1571227288148623e-6,-2.3854156738376585e-6,-3.1571374093252233e-6,-2.382530997880146e-6,-3.15710449212254e-6,-2.382043809718296e-6,-4.1937705334303755e-5
t20,-3.157092868507627e-6,-2.382863247155117e-6,-3.157150796393095e-6,-2.3819718235589378e-6,-3.1570805431326242e-6,-2.3825552915994016e-6,-3.1570435935169214e-6,-2.3835761136367142e-6,-3.157139256125742e-6,-2.383021812002794e-6,-3.1570539375918705e-6,-2.383444804837272e-6,-3.1570267551718983e-6,-2.3833799206713705e-6,-3.1573304816437456e-6,-2.4470967124349355e-6,-3.1571068064468884e-6,-2.3836213278018216e-6,-3.157159409876029e-6,-2.3835608761896933e-6,-3.1570679874588604e-6,-2.3831718656408124e-6,-3.157036589906011e-6,-2.3837471985731512e-6,-3.157118075289501e-6,-2.384122243354008e-6,-3.1571382403222787e-6,-2.382560418630096e-6,-3.157111701702786e-6,-2.3820913767390567e-6,-4.1937731245545136e-5
