Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
CO2_Price,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,-2.9329071325589574e-7,0
Sum,6.856795e7,6.678826e7,9.130723e6,2498.1233,2.1782368e6,342878.47,1.2870227,0.6009963,9.860095e6,3.504338e6,474285.12,1.02757e8,5.160814e6,12063.554,1.9801394,2.6877914e8
t1,9788.914809915039,9172.943263682528,1784.2976552544826,0.13685187745982216,0.001419261254763955,95.67528763540486,0.0002280980853013797,4.438820134675632e-5,2205.5776528632314,825.2415431053879,2.4282229213825723,29224.437052101115,2075.792592001514,0.6401591103496216,0.0002576435781001263,55176.08703985901
t2,9788.914809504127,9172.943263774338,1775.8678030373098,0.13662119565722777,0.0014195705546189432,95.67528765342772,0.00022311171393741056,4.411758059965297e-5,2205.577652335725,825.241530974426,2.428218647523095,29224.437053381473,2075.7925910710555,0.640158595757572,0.0002566888854584674,55167.65693365955
t3,9788.914809425405,9172.943263600246,1754.5136624988863,0.13662070286103453,0.001421241289169498,95.67528779999162,0.0002223315449918713,4.393046853774162e-5,2205.5776520372883,825.2414124561077,2.428217982794707,29224.43705463638,2075.792591149658,0.6401584967305138,0.00025652276514297434,55146.30267481242
t4,9788.91480940802,9172.943263531908,1744.6613358667726,0.13662065364155546,0.0014228300701019348,95.67528803403147,0.0002220581043574795,4.3817790142228906e-5,2205.5776518934726,825.2414110390627,2.4282178104306733,29224.43705586607,2075.792591304749,0.640158474533431,0.0002564860849029471,55136.45034907474
t5,9788.914809397422,9172.94326352386,1739.9246105533093,0.1366206397333889,0.0014215089107609147,95.67528511153529,0.00022050237560674804,4.377107730203953e-5,2205.5776417203997,825.2413899197333,2.428209826312615,29224.437055529786,2075.792570570704,0.6401584665122273,0.000256458860284391,55131.71355750053
t6,9788.914809357695,9172.943263631825,1688.3614102498293,0.1366205638456743,0.001422626722255505,95.67528516922968,0.00022000577682138435,4.3798334944611085e-5,2205.5776406346254,825.2413884494156,2.4282083483514123,29224.437056533126,2075.792568691334,0.6401584284185097,0.0002563475717721881,55080.150352836106
t7,9788.91480914398,9172.943264075675,1383.978340286849,0.13662033283911965,0.0014210493116887264,95.67528260542474,0.00021891431714066853,4.388770655261922e-5,2205.577633555033,825.2413779855208,2.428199485159148,29224.437056117822,2075.7925575278227,0.6401582027880427,0.0002557718955746368,54775.76723894215
t8,9788.914807955076,9172.943303611719,876.4610765350066,0.13649352816897145,0.0014077862127343773,95.67525521100853,0.00021195227216500273,4.384763539405893e-5,2205.5762404532798,825.241262910756,2.428153147988342,29224.43703886178,2075.79244390989,0.6401570222838268,0.0002526789499854097,54268.24814941202
t9,9788.914724622273,9172.943303553897,876.4610156795745,0.13649314438190646,0.001347077089697193,95.67524951118119,0.00017507925264851763,4.435494031613688e-5,2205.5772476749185,825.2412807267355,2.428199122767756,23820.222691861618,2075.79256393085,0.6401140992216788,0.00022881374105300278,48864.03467925244
t10,9788.91462491132,7489.2209633182865,876.4609876151248,0.13648550678091448,0.0013356797376201971,95.67524044388178,0.0001724583537847773,4.497396096529977e-5,1559.3546941076143,825.2412575350571,2.428193781212959,9119.8193021753,2075.7925007490785,0.640092883798051,0.00022125247627831205,31833.68611739198
t11,8931.147220767165,6934.984993258582,876.4609125744479,0.1364584677937787,0.0013371073060602558,95.67524173401853,0.00017255159508546485,4.534189718952968e-5,1507.846160002555,825.2410786384715,2.428091609530042,7431.52774119949,2075.792318322229,0.6400362168354522,0.0001779396481701122,28681.881985731565
