Region description,Network_zones,RPS_1,RPS_2,RPS_3,RPS_4,RPS_5,RPS_6,Modeled load
MIS_Central,z1,0,0,0.081,0,0,0,382738639
MIS_East,z2,0,0,0.127,0,0,0,292382186
NY_East,z3,0,0,0,0.525,1,0,200120176
NY_West,z4,0,0,0,0.525,1,0,69771005
PJM_COMD,z5,0.221,0.221,0,0,0,0,167073854
PJM_Delaware,z6,0.363,0.363,0,0,0,0,29150028
PJM_Dom,z7,0.706,0.89,0,0,0,0,191657526
PJM_NJCoast,z8,0.49,0.49,0,0,0,0,32857003
PJM_NJLand,z9,0.49,0.49,0,0,0,0,83493376
PJM_PECO,z10,0.078,0.078,0,0,0,0,68363403
PJM_SMAC,z11,0.449,0.449,0,0,0,0,99846759
PJM_WEST,z12,0.098,0.098,0,0,0,0,677632779
PJM_WestMAC,z13,0.078,0.078,0,0,0,0,114088441
SC_TVA,z14,0,0,0,0,0,0.012,257262032
SC_VACA,z15,0,0,0,0,0,0.074,406692700
